Name,Description,SnapshotId,Region,Encrypted,OwnerId,StartTime,VolumeId,VolumeSize,StorageTier,RestoreExpiryTime,Tags
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0c0255fafdc11a69f,snap-0c8ed857cc29058e2,us-east-1,False,993814764642,2023-02-15 07:12:03.372000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:CA555D0D-D384-0518-8542-F89268E4BDE9"", ""Name"": ""WebFront2"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-05b6b162f8cccf3c8,snap-05f2fbbf0a81acb33,us-east-1,False,993814764642,2023-02-15 06:54:19.583000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:DC5DF805-A2F3-BCBE-3527-50E61A097D92"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0b67ecdb836642357,snap-0a3975257742256be,us-east-1,False,993814764642,2023-02-11 07:07:45.408000+00:00,vol-0519557e3c89d15a6,80,standard,,"""Name"": ""WebFront2"", ""aws:backup:source-resource"": ""i-03258b739120ff3c3:4A676591-A36D-83A4-D04E-6A6BB7531CF0"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-047a0fdb0f5f1808f,snap-0f6443b335748a0d7,us-east-1,False,993814764642,2023-02-04 08:29:27.998000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:BB17E8A4-37E2-D1D0-57AC-B4E6EC40D760"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0e5e8d9455ac7df97,snap-0ced5588e021aaba1,us-east-1,False,993814764642,2023-02-04 07:11:58.709000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:B221B04A-C07B-9633-1B8B-42DB40A2F47B"", ""Name"": ""WebFront2"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-0cafed5ff36d9a49a,snap-0202954564744b83a,us-east-1,False,993814764642,2023-01-28 08:41:57.045000+00:00,vol-4a725909,300,standard,,"""Name"": ""DataHub4 Rabbit Drive"", ""aws:backup:source-resource"": ""i-f5b79090:5C6E301F-F89E-B52D-6F5C-7180295016B9"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-003288c9f4a3e6713,snap-0c59ce70102778776,us-east-1,False,993814764642,2023-01-21 08:28:55.871000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:27D3FFB0-FC6F-0B61-0748-5AA22F04825E"""
,Created by CreateImage(i-f5b79090) for ami-0841a75f113f34d5d,snap-075493e93ec596709,us-east-1,False,993814764642,2023-01-09 17:44:00.437000+00:00,vol-4a725909,300,standard,,
,Created by CreateImage(i-f5b79090) for ami-0841a75f113f34d5d,snap-0db58f82b27fc4c11,us-east-1,False,993814764642,2023-01-09 17:44:00.437000+00:00,vol-947259d7,80,standard,,
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-08080c9a9cae46336,snap-0cab92a150079e185,us-east-1,False,993814764642,2023-07-19 08:49:18.856000+00:00,vol-4a725909,300,standard,,"""Name"": ""DataHub4 Rabbit Drive"", ""aws:backup:source-resource"": ""i-f5b79090:3787F0B5-B864-75DC-F411-5A89DBEAAB48"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-0fc555da792c5c2c1,snap-0751d90c267a06538,us-east-1,False,993814764642,2023-07-19 08:46:09.910000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:3F5596F9-567A-580A-7048-3A6697C99BF9"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-08080c9a9cae46336,snap-0d40e0dc5a7aa6f1f,us-east-1,False,993814764642,2023-07-19 08:49:18.856000+00:00,vol-947259d7,80,standard,,"""aws:backup:source-resource"": ""i-f5b79090:3787F0B5-B864-75DC-F411-5A89DBEAAB48"", ""Name"": ""DataHub4 C Drive"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0f97afe651295c3c7,snap-0254bb2f8d052606b,us-east-1,False,993814764642,2023-07-19 08:06:04.941000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:8B8B2821-38C0-B7CF-FB7A-C9B32896D0D9"", ""Name"": ""WebFront2"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-0cb214338aa5a50b5,snap-0df0ad5070e20787a,us-east-1,False,993814764642,2023-07-19 07:44:32.889000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:EDBE3EA8-F810-44B7-976A-7F3BAD9A48C2"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-06e10c23bdf2d65f3,snap-03a180da3f669d339,us-east-1,False,993814764642,2023-07-15 08:46:31.787000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:F27E37C7-E270-C9D4-A33A-62CCAB29974D"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0cb0e44f45ddef4a1,snap-01a8393b8ea0b687a,us-east-1,False,993814764642,2023-07-15 07:55:08.644000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:CDD539CC-E2C3-D937-D5BA-CAF88EFEB2CE"", ""Name"": ""WebFront2"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-0c76558b00576c91a,snap-0121e2b1e953dcd3a,us-east-1,False,993814764642,2023-07-12 07:51:22.756000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:F871F665-7B3B-948A-F055-C2CF6C6D146B"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-0b643e6c677a8efc9,snap-0deb56eae6fb9d911,us-east-1,False,993814764642,2023-07-08 08:49:26.707000+00:00,vol-4a725909,300,standard,,"""Name"": ""DataHub4 Rabbit Drive"", ""aws:backup:source-resource"": ""i-f5b79090:7ED55E3C-E7B2-31A3-130D-8D7167E1CA26"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0232bccd2cf8f924a,snap-0feb9ff87541d4d74,us-east-1,False,993814764642,2023-07-08 07:52:52.654000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:53CC9A85-ACD9-A3B9-B803-4F7CCB8A3FDB"", ""Name"": ""WebFront2"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-0cd349b85a9b6908b,snap-042cf8e2d5af2fa85,us-east-1,False,993814764642,2023-07-08 07:45:48.913000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:54A97919-F7AE-36E3-0809-0AB58941F496"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-0a5e7d1014f03c201,snap-0272c20bacd788e39,us-east-1,False,993814764642,2023-07-05 08:51:31.401000+00:00,vol-947259d7,80,standard,,"""aws:backup:source-resource"": ""i-f5b79090:A28FF1DD-0716-B828-22DF-4741E77D745F"", ""Name"": ""DataHub4 C Drive"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-079a365a758235d13,snap-052c03cc8b566ef8d,us-east-1,False,993814764642,2023-07-05 08:10:19.899000+00:00,vol-0519557e3c89d15a6,80,standard,,"""Name"": ""WebFront2"", ""aws:backup:source-resource"": ""i-03258b739120ff3c3:60783F23-D3B4-D0D1-B18C-59BB580E5A99"""
